POS,TEAM,REC,PTS
1,Alabama (24),7-0,1486
2,LSU (16),7-0,1462
3,Ohio State (13),7-0,1429
4,Clemson (9),7-0,1408
5,Oklahoma,7-0,1343
6,Penn State,7-0,1224
7,Florida,7-1,1138
8,Notre Dame,5-1,1058
9,Auburn,6-1,1054
10,Georgia,6-1,1031
11,Oregon,6-1,979
12,Utah,6-1,852
13,Wisconsin,6-1,767
14,Baylor,7-0,732
15,Texas,5-2,627
16,SMU,7-0,587
17,Minnesota,7-0,577
18,Cincinnati,6-1,468
19,Michigan,5-2,440
20,Iowa,5-2,347
21,Appalachian State,6-0,286
22,Boise State,6-1,225
23,Iowa State,5-2,185
24,Arizona State,5-2,134
25,Wake Forest,6-1,118